iter	Passed	Remaining
412	3721	5289
413	3726	5274
414	3735	5265
415	3742	5253
416	3755	5250
417	3759	5234
418	3766	5223
419	3771	5207
420	3783	5203
421	3787	5188
422	3795	5177
423	3803	5167
424	3811	5156
425	3816	5142
426	3820	5126
427	3826	5114
428	3835	5104
429	3846	5099
430	3852	5085
431	3863	5080
432	3868	5065
433	3879	5059
434	3884	5045
435	3895	5039
436	3899	5023
437	3907	5013
438	3911	4998
439	3915	4982
440	3922	4971
441	3925	4955
442	3929	4940
443	3935	4928
444	3940	4914
445	3943	4898
446	3949	4885
447	3955	4873
448	3958	4858
449	3966	4847
450	3970	4833
451	3974	4818
452	3982	4808
453	3987	4795
454	3991	4780
455	4001	4773
456	4004	4758
457	4007	4742
458	4014	4731
459	4017	4716
460	4022	4702
461	4028	4691
462	4032	4677
463	4036	4663
464	4042	4650
465	4047	4637
466	4050	4623
467	4054	4608
468	4061	4598
469	4065	4584
470	4068	4569
471	4075	4559
472	4080	4546
473	4092	4541
474	4097	4528
475	4114	4529
476	4117	4514
477	4124	4503
478	4127	4489
479	4131	4476
480	4136	4463
481	4139	4448
482	4143	4434
483	4155	4429
484	4172	4431
485	4177	4418
486	4187	4411
487	4193	4399
488	4201	4390
489	4207	4378
490	4222	4377
491	4239	4376
492	4269	4391
493	4280	4384
494	4287	4373
495	4295	4365
496	4301	4353
497	4305	4340
498	4313	4330
499	4316	4316
500	4320	4303
501	4327	4293
502	4331	4279
503	4335	4266
504	4341	4255
505	4344	4241
506	4349	4229
507	4359	4222
508	4363	4208
509	4366	4195
510	4376	4188
511	4381	4175
512	4411	4187
513	4425	4184
514	4432	4174
515	4445	4170
516	4454	4161
517	4460	4150
518	4464	4137
519	4498	4152
520	4508	4144
521	4515	4134
522	4523	4125
523	4536	4120
524	4539	4107
525	4544	4095
526	4549	4083
527	4552	4069
528	4556	4056
529	4563	4047
530	4569	4036
531	4574	4024
532	4581	4014
533	4585	4001
534	4593	3992
535	4597	3979
536	4600	3966
537	4605	3955
538	4610	3943
539	4614	3930
540	4618	3918
541	4627	3910
542	4630	3897
543	4634	3885
544	4640	3873
545	4650	3866
546	4654	3854
547	4676	3857
548	4687	3850
549	4692	3839
550	4703	3832
551	4723	3833
552	4738	3830
553	4751	3825
554	4755	3812
555	4768	3808
556	4782	3803
557	4787	3792
558	4797	3784
559	4801	3772
560	4813	3766
561	4820	3756
562	4861	3773
563	4868	3763
564	4881	3758
565	4894	3753
566	4906	3746
567	4969	3779
568	4978	3771
569	4991	3765
570	5020	3772
571	5070	3793
572	5078	3784
573	5105	3788
574	5112	3779
575	5175	3809
576	5187	3803
577	5198	3795
578	5207	3786
579	5253	3804
580	5264	3796
581	5271	3786
582	5286	3780
583	5362	3819
584	5369	3809
585	5380	3801
586	5387	3790
587	5410	3790
588	5417	3779
589	5424	3769
590	5428	3756
591	5433	3744
592	5440	3734
593	5445	3721
594	5450	3709
595	5457	3699
596	5463	3688
597	5473	3679
598	5478	3667
599	5482	3655
600	5490	3644
601	5493	3631
602	5497	3619
603	5505	3609
604	5508	3596
605	5512	3583
606	5518	3572
607	5521	3559
608	5525	3547
609	5529	3535
610	5536	3524
611	5539	3511
612	5543	3499
613	5549	3488
614	5553	3476
615	5556	3463
616	5562	3453
617	5567	3441
618	5572	3429
619	5581	3421
620	5585	3408
621	5590	3397
622	5596	3386
623	5600	3374
624	5609	3365
625	5616	3355
626	5620	3343
627	5627	3333
628	5631	3321
629	5635	3309
630	5640	3298
631	5644	3286
632	5647	3274
633	5654	3264
634	5659	3252
635	5664	3241
636	5672	3232
637	5677	3221
638	5681	3209
639	5690	3200
640	5694	3189
641	5701	3179
642	5705	3167
643	5711	3157
644	5720	3148
645	5727	3138
646	5740	3132
647	5752	3124
648	5758	3114
649	5770	3107
650	5784	3101
651	5789	3090
652	5796	3080
653	5802	3069
654	5806	3058
655	5816	3050
656	5820	3038
657	5828	3029
658	5832	3017
659	5836	3006
660	5843	2996
661	5847	2985
662	5852	2974
663	5855	2962
664	5863	2953
665	5868	2942
666	5877	2934
667	5880	2922
668	5883	2911
669	5889	2901
670	5894	2889
671	5897	2878
672	5903	2868
673	5909	2858
674	5915	2848
675	5922	2838
676	5926	2827
677	5930	2816
678	5938	2807
679	5943	2796
680	5946	2785
681	5955	2776
682	5960	2766
683	5968	2757
684	5972	2746
685	5976	2735
686	5982	2725
687	5986	2715
688	5990	2704
689	5999	2695
690	6004	2685
691	6014	2676
692	6020	2667
693	6023	2656
694	6031	2646
695	6034	2635
696	6038	2625
697	6046	2616
698	6050	2605
699	6054	2594
700	6062	2585
701	6071	2577
702	6079	2568
703	6084	2558
704	6088	2547
705	6094	2537
706	6098	2527
707	6105	2518
708	6109	2507
709	6112	2496
710	6116	2486
711	6121	2476
712	6126	2465
713	6129	2455
714	6135	2445
715	6140	2435
716	6164	2433
717	6177	2426
718	6196	2421
719	6200	2411
720	6204	2401
721	6215	2393
722	6219	2382
723	6228	2374
724	6231	2363
725	6235	2353
726	6242	2344
727	6246	2334
728	6250	2323
729	6256	2314
730	6262	2304
731	6266	2294
732	6277	2286
733	6280	2276
734	6289	2267
735	6297	2258
736	6307	2250
737	6312	2240
738	6315	2230
739	6323	2221
740	6326	2211
741	6329	2200
742	6335	2191
743	6340	2181
744	6345	2172
745	6355	2163
746	6360	2154
747	6368	2145
748	6372	2135
749	6377	2125
750	6385	2117
751	6388	2106
752	6391	2096
753	6398	2087
754	6402	2077
755	6408	2068
756	6421	2061
757	6424	2051
758	6430	2041
759	6434	2031
760	6438	2022
761	6445	2013
762	6450	2003
763	6455	1993
764	6464	1985
765	6468	1975
766	6474	1966
767	6479	1957
768	6482	1947
769	6486	1937
770	6494	1929
771	6499	1919
772	6512	1912
773	6516	1902
774	6522	1893
775	6527	1884
776	6530	1874
777	6537	1865
778	6541	1855
779	6546	1846
780	6555	1838
781	6559	1828
782	6571	1821
783	6575	1811
784	6580	1802
785	6587	1793
786	6592	1784
787	6601	1776
788	6609	1767
789	6618	1759
790	6622	1749
791	6626	1740
792	6633	1731
793	6639	1722
794	6648	1714
795	6652	1704
796	6656	1695
797	6662	1686
798	6667	1677
799	6671	1667
800	6683	1660
801	6686	1650
802	6690	1641
803	6696	1632
804	6699	1622
805	6704	1613
806	6710	1604
807	6714	1595
808	6723	1587
809	6727	1577
810	6730	1568
811	6733	1559
812	6743	1551
813	6748	1542
814	6755	1533
815	6759	1524
816	6763	1514
817	6770	1506
818	6774	1497
819	6778	1487
820	6781	1478
821	6790	1470
822	6794	1461
823	6808	1454
824	6819	1446
825	6823	1437
826	6828	1428
827	6838	1420
