iter	RMSE
0	0.4918948626
1	0.4851706587
2	0.4783241782
3	0.4720541313
4	0.4657236659
5	0.4587881529
6	0.4521455979
7	0.4469540318
8	0.4414450924
9	0.4363065202
10	0.4316662878
11	0.427240116
12	0.4217278894
13	0.4174303188
14	0.4124244786
15	0.4085876058
16	0.4054032627
17	0.401105402
18	0.396836029
19	0.3934923583
20	0.3905223178
21	0.3872874845
22	0.3846733992
23	0.3809821718
24	0.3775364024
25	0.3734818923
26	0.3698898696
27	0.3666041854
28	0.3632799539
29	0.3607902474
30	0.3581182552
31	0.3552034013
32	0.3528437793
33	0.3501747585
34	0.3469748844
35	0.3443668195
36	0.3414053087
37	0.338724699
38	0.3364570586
39	0.3339468237
40	0.3323679921
41	0.3308792303
42	0.3282647652
43	0.3266724294
44	0.3242899358
45	0.3224500747
46	0.3205428276
47	0.3184069952
48	0.3170043023
49	0.3150788348
50	0.3122583599
51	0.3103044437
52	0.3080514984
53	0.3062052737
54	0.3042340387
55	0.3024248281
56	0.3007332185
57	0.2989687384
58	0.2975012825
59	0.2961932259
60	0.2946139437
61	0.293230054
62	0.2919062689
63	0.2908178298
64	0.2892590476
65	0.2877737273
66	0.2862078022
67	0.2841931604
68	0.2831338654
69	0.282042373
70	0.2800765164
71	0.2786659959
72	0.2776748868
73	0.2766467278
74	0.275717317
75	0.2746685478
76	0.2735127238
77	0.2718180187
78	0.270077726
79	0.2691587298
80	0.2678938576
81	0.267145507
82	0.2659310375
83	0.2646100588
84	0.2636321083
85	0.2628020501
86	0.2614182281
87	0.2602440783
88	0.2586354559
89	0.2576420498
90	0.255907366
91	0.2551952805
92	0.2544527104
93	0.2533323523
94	0.2521636014
95	0.2510324546
96	0.2499057669
97	0.2491815821
98	0.2484263629
99	0.2475475143
100	0.2469609905
101	0.2463433299
102	0.2453956277
103	0.2443297987
104	0.2434837434
105	0.2428160921
106	0.242220044
107	0.24161126
108	0.2406789519
109	0.2396407216
110	0.238361946
111	0.2371187146
112	0.2364526999
113	0.2355907953
114	0.2348511555
115	0.2341410093
116	0.2333700725
117	0.2331743298
118	0.2327892537
119	0.2321345143
120	0.2308759701
121	0.2302799742
122	0.2293207026
123	0.2289454825
124	0.2284593277
125	0.2280316155
126	0.2276295889
127	0.2269700152
128	0.2261077818
129	0.2254305445
130	0.2246852755
131	0.2242343704
132	0.2232832246
133	0.2222963397
134	0.2214342053
135	0.221114431
136	0.2204575484
137	0.2198844755
138	0.2191508667
139	0.2184033758
140	0.2177303824
141	0.2172588884
142	0.2167391048
143	0.2163368642
144	0.2158417234
145	0.2150251656
146	0.2138912752
147	0.2132134909
148	0.2122066576
149	0.2112536443
150	0.2105032377
151	0.2102620908
152	0.209719012
153	0.2085579499
154	0.2080867291
155	0.2075071199
156	0.2072593793
157	0.2065924405
158	0.2061130347
159	0.205085532
160	0.2044056102
161	0.2039129492
162	0.2032249366
163	0.202705093
164	0.2016172658
165	0.2009814647
166	0.2004468126
167	0.2001110392
168	0.1998256844
169	0.1993581392
170	0.1989912875
171	0.1984525273
172	0.1981319825
173	0.1977762665
174	0.1972841485
175	0.1969474114
176	0.1964767691
177	0.1962417409
